Barcode,Multimedia IRN,Image 1/2,assetID
010685728,2085384,image 1,4677de7eaaee48a1ef9647dca21c95ba4cc6bfcf
010685731,2085385,image 1,073458b0577a9816bc52c85cc3a69ad645b831c1
010685735,2085386,image 1,56101edac62f0754fd70335a52070d334e17d10b
010685736,2085387,image 1,026b3a18bc52f335d7710d62a7b52e8d832d9592
010685738,2085388,image 1,c6588c3edcaec93f26d4ffd7ddb0baa8f9bfee5d
010685739,2085389,image 1,d0703fa94d2ca95041927de945bf0370774a3fb8
010685741,2085390,image 1,b70327b50de68615ab9f429b6e300a7de309468d
010685744,2085391,image 1,2116ca9f61a73d4e90a497705d9d852ff9bc8f6d
010685745,2085392,image 1,597fef9d6c76ce4d5bbf9639ff7a5610fb4bbd27
010685749,2085393,image 1,f352bee855d6d46deb7283ccd762927023adebed
010685750,2085394,image 1,9b7e6ef4515391f9e907595b8a88630ad145c775
010685753,2085395,image 1,da6e27d48da28bdbaf34c0883331e080808bab0b
010685754,2085396,image 1,7bcc9273d472483c8cec903922ba3bf2f0d361a9
010685756,2085397,image 1,b275166638799d4c1747b05c15690dd159ebfadd
010685757,2085398,image 1,418eeb57a23b558e7f84c95d4dcf6e713a56369b
010685761,2085399,image 1,e42e5c239844621c1dd0e973e96aa5102fc1b3a5
010685762,2085400,image 1,c93621a324086b468c2f83679b2f91243ad73ac4
010685764,2085401,image 1,558366b33735b5a96b5b15a868ae72f4103f307f
010685766,2085402,image 1,f8e835946977fa44878ca5ab1203cbde95b40dd0
010685768,2085403,image 1,f61460d63aded47b1cadefc97cec5aab165591cd
010686266,2085404,image 1,7fbc2c47e7741fca783ebead8263add8fd979812
010686267,2085405,image 1,c7d499901c831f87b4270deee5691414bd125f16
010685770,2085406,image 1,84946fc0cbf82d78c8e9eb9fb896346e047a1333
010686270,2085407,image 1,7ae3a22bb73d0a6877613f04a35cfc0f7e9e8a2a
010685771,2085408,image 1,48525784504c1ba1736a08e4dcc64e9fc65af86b
010685772,2085409,image 1,13cc330d25eb1604ea26fdacfcdb24dc71740951
010685773,2085410,image 1,c35341aeb24380db339ddfc1fe76e627d32451d6
010685774,2085411,image 1,3ec9d78dad1aff5b33f99ecc6f11f967d535e1ca
010685777,2085412,image 1,aab43559428018ba12cf970147af54330a1973f5
010685778,2085413,image 1,11db53312e6a5bcb02cdff8189d43fdca420c729
010685780,2085414,image 1,aa5630e03b7c1ce1065887ab9a22a4053d5c4c78
010686277,2085415,image 1,c2dd4a591347b1e43d35e6c51d8fa25b5cd72580
010685784,2085416,image 1,6bf1119e7d86d302aec1d965c80d4b0409519065
